Used_ID,Iso,CON1,CON2,CON3,CON4,CON5,HF1,HF2,HF3,HF4,HF5
NADH,NADH,2244627,2715837,931345,919398,8345496,490229,2928123,39466,2104124,1858973
NADP+,NADP+,6388994,12092216,5166054,4554112,8856651,4582528,3794164,3878668,5694650,6641128
NADPH,NADPH,337671,1057619,314224,122029,203963,27464,328189,2630,343804,512580
Nicotinamide,Nicotinamide,1203977216,1242465792,681831296,831791040,1335847296,466521440,439923488,419718272,548172096,953589248
Ornithine,Ornithine,3776163,2941905,4724468,1336323,2594540,1368682,1013936,766233,1069109,2353993
Orotate,Orotate,1127141,4200668,530811,0,226744448,0,0,0,0,0
Orotidine,Orotidine,10186921,13259504,8006712,6751404,108030936,5762214,5429184,5042780,5945724,7704470
Palmitate,Palmitate,4147149056,5015608832,4512604160,6197125120,5580241920,5069898240,5904176640,4384665088,6298525696,5794461696
Pantothenate,Pantothenate,160615728,264860032,126660552,163403056,135386496,121195968,99663936,101301720,121295272,156597056
Phenylalanine,Phenylalanine,204986560,185974992,126385720,90526336,202266320,84688968,64684400,53027280,96583960,124248008
Phenylalanine,Std,25853270,26281376,26566154,27130166,21560938,27014934,26946194,17790728,27535038,26948926
Phosphate,Phosphate,65293468,67569752,46014256,53724700,73706152,45213872,45829552,37039632,50547052,59722292
Phosphocholine,Phosphocholine,24221856,32191392,16686376,13684719,47417220,18392300,14907949,11883432,20128388,36074476
Phosphocreatine,Phosphocreatine,17252440,16068520,13533491,12134747,13712864,24702246,19427002,8562005,45677236,23532416
Phosphoenolpyruvate,Phosphoenolpyruvate,444046,321497,117101,61611,1005763,155200,266134,271287,51797,181301
Phosphoethanolamine,Phosphoethanolamine,68604760,99610408,49432188,43177984,120804936,39961212,34061492,25909150,42062816,62265228
Phosphoribosyl pyrophosphate,Phosphoribosyl pyrophosphate,17246,0,0,0,20994,12784,13475,0,0,29760
Phosphoserine,Phosphoserine,459489,337834,170137,194959,527952,999521,947634,771434,652871,1406561
Proline,Proline,92004288,82135584,125650856,47626784,92148568,41863932,36697520,27024134,45863700,65601760
Proline,Std,9204235,9524923,9708975,9593837,6359694,9382494,8891509,7188762,9703735,9298599
Propanoyl-CoA,Propanoyl-CoA,64134,81704,40623,38758,63914,5989,16924,29437,29725,28477
Ribose,Ribose,642945,450547,408841,271080,788359,491120,331260,292001,336567,337534
Ribose-5-phosphate,Ribose-5-phosphate,29117232,21497930,16845742,13867367,38114076,10430871,8947259,11441209,7882784,15582925
S-Adenosyl-L-methionine,S-Adenosyl-L-methionine,6083706,6625570,4367884,4724014,7497108,3238196,2212029,1828352,3405797,3743008
Sedoheptulose-7-phosphate,Sedoheptulose-7-phosphate,10084607,9980675,5449706,4920600,10348343,3288593,3084766,3316390,3312817,5711108
Serine,Serine,67577608,75312176,74284456,38574380,78774208,42942540,42138756,35435356,47180788,64033572
Serine,Std,1936564,2135776,2128173,2323734,1940621,2366771,2576736,2071290,2423346,2426438
Sorbitol,Sorbitol,10125015,9708678,9841016,9314628,21683382,7941158,7673234,7741954,8391975,8794861
Succinate,Succinate,44839876,39223036,19064330,20369554,72604472,22532922,23991802,25168824,22353010,30744552
Succinyl-CoA,Succinyl-CoA,15029,24765,7799,3256,28456,2607,3898,3503,7512,15336
Thiosulfate,Thiosulfate,2956387,5516260,866790,746839,5361086,596950,657730,263686,3087228,1470577
Threonine,Std,1121928,913162,1361596,1290908,878392,1505953,1707212,1117035,1285860,1096197
Threonine,Threonine,31195894,27840746,23817554,19496032,37626932,21621400,17732342,15498352,22332370,25887664
Thymine,Thymine,11353496,11558055,4843014,4597636,13149284,3316857,3248364,1979497,4535802,6848594
Tryptophan,Tryptophan,110943048,112224920,75988032,62713228,104443808,45348044,39822980,26875872,55695268,70848120
Tyramine,Tyramine,34489,62629,19093,19804,38075,21681,22785,22237,16029,21492
Tyrosine,Std,8649965,9095192,10580424,9603818,8589824,9802976,9759375,7207438,9763465,9659276
Tyrosine,Tyrosine,67074724,87349472,48703948,34014476,73054264,34032644,29581630,24562614,37094828,50766996
UDP,UDP,7615266,10917767,1023448,1758994,1776666,12538269,8702291,4111649,12495044,8079122
UDP-glucose,UDP-glucose,34176612,33556624,23911774,20680644,46486548,24223974,21804110,18076610,23602610,35174672
UDP-N-acetylglucosamine,UDP-N-acetylglucosamine,53407264,56502192,28003096,33051302,86816424,30186744,35588404,21665544,38624432,56175328
UMP,UMP,121096224,144395696,77803304,87183552,129631016,64266580,69244680,55489612,85079848,141204176
Uracil,Uracil,51150420,36973092,16557963,14203413,38360716,9844832,10577643,8636269,13682165,21938432
Uric acid,Uric acid,40732644,37198748,20998398,14234019,27610616,8803068,11910647,3235123,10119421,18062802
Uridine,Uridine,184340400,119553640,60828764,50068864,324269472,32026942,32366966,29309334,32628138,57030432
UTP,UTP,197620,337113,0,32144,98343,330898,292008,226440,307665,189452
Valine,Std,6668102,7077326,7903746,7436400,3376461,7570754,7230444,5080960,6400010,6331728
Valine,Valine,100746784,69936040,91242528,47896908,60246380,70074232,49748252,37031256,65898348,72193496
Xanthine,Xanthine,41223356,29870794,16225605,14367533,12524220,7641526,7505652,7564504,8697877,15129151
